GENE	UC
AXDND1	0.27221
TMUB2	0.27224
PDPR	0.27245
GULP1	0.27256
EDC4	0.2726
CCDC6	0.27266
KIAA1522	0.27268
WDR92	0.27268
CDC42EP1	0.27274
MUC4	0.27291
NIPSNAP3A	0.27296
MALL	0.27311
PLCD1	0.27312
PARP14	0.27315
POLR2K	0.27322
MVK	0.27324
SEMA6B	0.27329
CD80	0.27333
ELOVL6	0.27336
NUDT9	0.27348
SPA17	0.27362
FARP1	0.27362
SH3RF1	0.27376
OCIAD1	0.27378
TPM1	0.27394
ENGASE	0.27412
PARS2	0.27413
ANO6	0.27415
RPLP1	0.27427
SLC2A6	0.2743
PHLDA2	0.27436
PTPRN	0.27451
MACROD1	0.27455
DYRK1B	0.27464
ZFPM2	0.27469
S100A13	0.27478
FAM204A	0.27478
MFGE8	0.27478
PSKH1	0.27493
ZNF318	0.27496
HAGHL	0.27501
CLEC16A	0.27505
POLL	0.27509
GLYR1	0.27511
SH2D4A	0.27512
PLD6	0.27521
CRIPT	0.27524
B4GALT2	0.27526
SERPING1	0.27534
ASB6	0.2754
CHTOP	0.27547
CRKL	0.27556
CWF19L1	0.27564
CTCF	0.27567
ALKBH4	0.2757
NDUFV1	0.27573
TAPT1	0.27574
DPP8	0.27576
MGAT4A	0.2758
FCRL4	0.27596
TATDN2	0.27604
XRCC2	0.27611
SLAMF6	0.2763
RORB	0.27634
MKRN1	0.27636
RNF43	0.27636
USP40	0.2764
SREK1	0.27648
EXTL3	0.2765
ARGLU1	0.27658
FBF1	0.27661
MED21	0.27669
C3orf58	0.27679
POLR3H	0.2768
SEPP1	0.27685
TRAPPC2L	0.27685
EFCAB13	0.27714
CRYZL1	0.27725
FRS2	0.27726
AP3B2	0.27732
FAM49B	0.27738
SYNPO2	0.27747
C5orf15	0.27756
FLI1	0.27786
SLC38A9	0.27787
UFD1L	0.27796
CBFB	0.27824
HMGN4	0.27833
PLXNA2	0.27847
ARSI	0.27847
ANKLE2	0.2785
TNK2	0.27851
SDE2	0.27861
RNF148	0.27874
ALAS1	0.27885
PCMTD1	0.27901
LRRCC1	0.2791
JRK	0.27924
ZDHHC5	0.27925
SKA3	0.27928
NSMCE4A	0.27948
GSTM2	0.27966
ZNF415	0.27971
PEBP4	0.2798
RASGRP4	0.27995
ADAL	0.28001
LYRM5	0.28017
SIDT1	0.28025
ZNF524	0.28036
CNOT4	0.28055
ASXL3	0.28056
FMO1	0.28058
PUS3	0.28064
SYDE2	0.28066
BTRC	0.28074
ABCA9	0.28077
MITF	0.28102
OTUB1	0.28122
IL10RB	0.28125
GPR157	0.28129
PKP2	0.28134
POLN	0.28141
KBTBD3	0.28159
ARL6	0.28166
BTLA	0.28181
DDAH1	0.28183
HENMT1	0.28199
KIAA0825	0.28201
INO80D	0.28202
CAMK2D	0.28202
CDK5	0.28211
ZNF491	0.2822
PIN1	0.28225
TNFRSF21	0.28232
VAV3	0.28243
IGF1	0.28254
S1PR4	0.28261
OGFOD3	0.28269
NSG1	0.2827
ANKRD17	0.28298
RPS10	0.28344
MB21D2	0.28345
BTN3A2	0.2836
GPX3	0.28373
TRAF3IP1	0.28383
FLCN	0.28384
CLDN7	0.28409
TBC1D22A	0.28409
KIAA0513	0.28423
E2F5	0.28442
ITK	0.28444
ZSWIM4	0.2846
ARHGEF26	0.28463
MPV17L2	0.28464
PREX2	0.28466
SLC25A25	0.28474
SWT1	0.28476
NTPCR	0.28485
EPS15	0.28496
NRXN1	0.28511
IL17A	0.28528
PRR15	0.28528
ZMYND19	0.28537
SIAH1	0.28543
TNFRSF10A	0.28554
WDR76	0.28554
ACSS3	0.28555
HEXDC	0.28561
MYL12B	0.28573
APBA3	0.28573
FAM193B	0.28581
RAI14	0.28589
TOM1L1	0.28589
MAD2L1BP	0.28594
KDELR3	0.28633
NLRP3	0.28639
MYEF2	0.28663
METTL7A	0.28666
FOXD2	0.28667
PSCA	0.28668
TRIM38	0.28682
ABLIM1	0.28682
IL17RD	0.28684
LY6E	0.28701
SNX6	0.28704
ATP6V1G1	0.28721
GTF2B	0.28723
STX1B	0.28724
ACTR3B	0.28732
CENPM	0.28734
NAA40	0.28736
AGAP3	0.28745
DDI2	0.28762
TMEM243	0.28773
SAMD1	0.28773
CEP152	0.28798
SCRN1	0.28805
PTGDS	0.28811
ANO7	0.28815
MRPS6	0.28827
CSNK1E	0.28839
PTRH1	0.28844
LCTL	0.28846
TDRD3	0.28864
PIGU	0.28866
PHGR1	0.28866
ARMC8	0.2887
PDE6D	0.28875
MCM3	0.28875
ZCCHC9	0.28887
HDAC2	0.28888
TIGIT	0.2889
LYPLA1	0.28891
SNRNP200	0.28894
FAM195B	0.28898
EAPP	0.28924
CUX1	0.28932
GOLGA8B	0.28934
FAM114A1	0.28946
TNFAIP8	0.28955
LCN12	0.28957
ADNP2	0.28961
DDHD1	0.28967
NBAS	0.2897
MEF2A	0.28972
PRDM8	0.28974
NCAM1	0.28986
SMC5	0.28992
DCAF5	0.28996
MT3	0.28999
DDX25	0.29013
PCK1	0.29017
CLPX	0.29042
SLC45A4	0.29043
TRADD	0.29051
USP44	0.29092
SLC30A2	0.29094
PPP1R27	0.29101
SEPT10	0.29105
VWC2	0.29113
FOSB	0.29119
TMEM179B	0.29125
DUSP5	0.29131
GTF2H3	0.29132
TRIM5	0.29133
FGD3	0.29153
LAMP1	0.29157
DNAJB1	0.29175
UGGT2	0.29182
GHR	0.29191
USP5	0.29202
ZNF146	0.29206
NUP210L	0.29209
DPF2	0.29214
PLK2	0.29218
HDGFRP3	0.2922
PKDCC	0.29224
PRKCZ	0.29225
H3F3A	0.29225
S100A8	0.29238
MAPRE2	0.29255
DNAJB4	0.29263
PPP1R36	0.29267
POLRMT	0.29304
GPR162	0.29308
ERCC2	0.29309
QTRT1	0.29321
NIPSNAP3B	0.29322
CD164	0.29327
LEPROTL1	0.2933
RAP2B	0.29331
UAP1L1	0.29334
GRHL1	0.29336
ABCB1	0.29338
RASL11B	0.29339
SETD3	0.29339
MRPL16	0.2934
MICAL1	0.29346
EML5	0.2935
ABHD17B	0.29352
UBE2M	0.29363
GSAP	0.29391
APPL1	0.29396
LBH	0.29398
ASUN	0.29407
SGCE	0.29417
SIGLEC8	0.29419
GFRA2	0.29424
NBR1	0.29429
MED4	0.2945
DPM1	0.29457
CCDC34	0.29459
CARHSP1	0.29461
DSCC1	0.29463
MORF4L1	0.2949
OTUD4	0.29506
MRPS9	0.29507
ZNF845	0.29507
DUS4L	0.29508
SPAG1	0.29519
NLE1	0.2953
RERG	0.29533
FAM53A	0.29564
COL5A2	0.29567
SECISBP2L	0.29568
RSPH9	0.29575
LYPD6B	0.29581
RNLS	0.29593
NCOR1	0.29597
LRP2BP	0.29601
ALYREF	0.29603
TRAP1	0.29615
SLC26A2	0.29616
SPATS2	0.29622
RDH13	0.2964
ABCE1	0.29644
PREP	0.29652
ZNF420	0.29652
MFAP1	0.29665
SAPCD2	0.29671
GFOD1	0.29674
GPR137C	0.29678
NAV2	0.29696
ARL4D	0.29704
GLOD4	0.29708
ZNF526	0.29725
MRPL52	0.29738
MEMO1	0.29741
SETX	0.29756
SPARCL1	0.29759
PPDPF	0.29765
IFI27	0.29771
C8G	0.29779
MAST4	0.29785
CEP63	0.29788
MED27	0.2979
TMPRSS2	0.29803
ZNF213	0.29808
SPRED3	0.29814
RHOB	0.29817
CHMP2A	0.29825
ZNF720	0.2985
ZNF680	0.29862
GTPBP2	0.29873
FITM2	0.29875
CYP27C1	0.29878
IFT43	0.29881
ZFAND2A	0.29888
PHC3	0.29901
GDPD1	0.29915
CCDC122	0.29921
TRIM35	0.29924
PURB	0.29926
PHF23	0.29928
ELMOD1	0.29932
CLIC3	0.29938
IGSF11	0.29946
SLC4A2	0.29952
C1QTNF9B-AS1	0.29954
SHF	0.29969
CBLB	0.29973
ALKBH1	0.29974
C20orf27	0.29984
ZNF492	0.29985
CALB2	0.29993
C11orf21	0.30004
CNEP1R1	0.30017
KLHL24	0.30022
METTL15	0.30051
PRSS27	0.30051
SELENBP1	0.30053
SLC35A4	0.30067
RPLP0	0.30078
DSTN	0.30094
TM7SF3	0.30109
DSEL	0.3011
PNO1	0.30112
CCNT2	0.3012
SNAPC2	0.30134
ZNF17	0.30141
KLRC2	0.30147
FBXO43	0.30152
TLR2	0.30157
LIMS3L	0.30171
MRPS10	0.30176
SLC2A5	0.3019
PRKDC	0.30195
PBOV1	0.30201
KCTD6	0.30207
KLB	0.30208
RNPC3	0.30213
ESCO2	0.30213
ANKRD37	0.30218
CRLS1	0.30219
TIMM8B	0.30226
S1PR1	0.30235
SOGA1	0.30246
KCTD7	0.30253
ZNF530	0.30255
MTPAP	0.30263
IFI27L1	0.30282
ABHD2	0.30289
C1QC	0.303
FOXS1	0.30302
PEG10	0.30311
EIF4H	0.30314
BACE2	0.30314
C1orf50	0.30327
UBAC1	0.3034
SLC4A8	0.30373
ANKEF1	0.30389
CPVL	0.30402
PAQR5	0.30413
DNAL1	0.30414
PRRC1	0.30426
IL6ST	0.30431
ISCA1	0.30435
FAM101A	0.30442
OOEP	0.30448
TUT1	0.30452
NEXN	0.30453
PKM	0.30462
CALCOCO2	0.30462
SLC25A33	0.30466
NPHP1	0.30478
MARCH9	0.30497
FBXW5	0.30514
MTHFD2L	0.30535
STAP2	0.30543
TMEM39B	0.30546
CHFR	0.30549
CORO1B	0.3056
BRCA1	0.30571
KLHL12	0.30576
DDB1	0.30578
JAM2	0.3058
FBXO4	0.30581
ATPIF1	0.30594
CST7	0.30598
ADAP1	0.30603
PCDH17	0.30603
N4BP3	0.30611
DDX18	0.30633
HDGFRP2	0.30633
SPRY2	0.3065
CCDC93	0.30666
MPPED2	0.30668
AJUBA	0.3067
PARP16	0.30671
RUNDC3B	0.30672
PARK2	0.30691
C1orf52	0.30698
KRBA1	0.30698
CYP3A5	0.307
PIWIL1	0.30703
COMP	0.30711
TGFB3	0.30713
RHEBL1	0.3073
RAB3B	0.30738
ARRDC3	0.30748
C2orf44	0.30761
PLLP	0.30785
SDCCAG8	0.30789
C1QA	0.30808
CABP4	0.30827
C12orf77	0.30829
MAMDC2	0.30836
SEMA3D	0.30841
MAN1B1	0.30851
CEP89	0.30851
ESRRG	0.30868
CCDC3	0.30872
ABCD3	0.30881
TMEM19	0.30889
GPRIN3	0.3089
ZNF598	0.30895
SAMD9	0.3091
NFKBIB	0.30915
TCAIM	0.30929
JMJD1C	0.30937
TTC28	0.30938
SCARB1	0.30947
VCL	0.3095
AGA	0.30962
OSTM1	0.30962
SLC30A9	0.30964
FBXL12	0.30986
PDE4C	0.30996
CHMP4B	0.31003
GPM6A	0.31016
FUT8	0.31039
MED8	0.31041
NR0B2	0.31043
CYP2B6	0.31043
GLG1	0.31055
EML4	0.31065
LZTR1	0.31068
RUNX1	0.31073
RNF19A	0.31077
KIF18A	0.3108
C9orf41	0.31085
PPIE	0.31097
PIK3R2	0.31099
TMEM132B	0.311
PI4KA	0.31105
KCTD17	0.31126
ARL6IP5	0.31138
BUD13	0.31149
ACOT2	0.3117
RNF14	0.3118
EIF4G1	0.31181
HIF3A	0.31183
ITGB5	0.31186
NCAPH	0.31189
DNAJB2	0.31193
THAP10	0.31213
SERPINB6	0.31219
RND3	0.3124
NELFB	0.31252
PSMC2	0.31269
ACTG2	0.3128
HSPA2	0.31283
PDCD5	0.31285
NDC80	0.31289
TMEM17	0.31293
PIGX	0.31302
MPRIP	0.31302
NINL	0.31315
CAMLG	0.31323
CCDC174	0.31327
MTPN	0.3133
TMEM150A	0.3134
CILP	0.31343
RTCB	0.31345
DNAJC8	0.31373
PLK1	0.3138
B3GALT5	0.31401
RNF215	0.31415
ANGPTL1	0.31425
MKX	0.31436
TRIM6	0.31436
MOK	0.3144
COL21A1	0.31454
AGPAT3	0.31454
LIMK1	0.31456
ENY2	0.31458
ARMC1	0.31469
PNOC	0.31476
PTPRD	0.31493
HSPBAP1	0.31498
CD300A	0.31498
EVC2	0.3151
RPL3L	0.31512
AKAP10	0.31514
ELP5	0.31517
TRMT5	0.31519
ARRDC1	0.31523
NIPAL2	0.3153
USP39	0.31534
APIP	0.31538
TCEA1	0.3154
FCER2	0.31549
PAXBP1	0.31554
EIF4A3	0.31564
INVS	0.31584
ACVR2B	0.31591
NUDCD1	0.31593
UBE2L6	0.31596
CTGF	0.31604
FAM192A	0.31613
MSRB1	0.31623
NID2	0.31624
MOB4	0.31627
ZSCAN29	0.31633
TBX3	0.31636
VIPAS39	0.31646
STRIP2	0.31647
ANKRD23	0.31656
PIP5K1A	0.31658
RNF216	0.31661
GGT5	0.31674
MOCS3	0.31698
DDX24	0.31709
FGD6	0.31723
ALDH6A1	0.31742
HERC5	0.31744
XRCC4	0.31744
TMEM74B	0.31746
ANKZF1	0.31761
FRMD4B	0.31761
RAB20	0.31761
SCN8A	0.31762
FSTL3	0.31768
CWC25	0.31775
LACC1	0.31776
BCL2L13	0.31777
ATP9B	0.31793
SLC44A3	0.31815
MEX3C	0.31833
BCL10	0.31834
COPZ1	0.31834
EGLN2	0.31861
GPC6	0.3187
GABARAP	0.31875
DZIP1	0.3191
CXCL2	0.31932
SMU1	0.31949
CDC7	0.31969
RAB37	0.31972
BCL7C	0.31998
TXNDC16	0.32014
IRS1	0.3202
WDR81	0.32022
C1orf167	0.32043
STXBP6	0.32043
ZBTB38	0.32056
MEGF6	0.3206
KLRF1	0.32063
L3MBTL2	0.32097
GINS3	0.32099
KIAA1161	0.321
C6orf99	0.32108
HMCES	0.32115
RRAS2	0.32117
NDUFB10	0.32122
LCMT2	0.32124
CCT5	0.32127
PPP1R12C	0.32138
PRSS22	0.32159
GINS4	0.32163
MFSD5	0.32163
ZNF396	0.32173
IGSF9B	0.32175
CREBBP	0.32175
VPRBP	0.32176
TTC38	0.32185
SLC25A39	0.3219
OLFML2A	0.322
ZNF852	0.32231
BRE	0.32234
TM2D2	0.32243
GAPVD1	0.32246
PFKL	0.32267
WDR18	0.32286
ZNF274	0.32287
ANKRD7	0.32297
ZNF586	0.32303
NPW	0.32304
ZNF19	0.32307
SLFN11	0.32325
MNS1	0.3233
NDUFB4	0.32362
MEST	0.32383
ABCA1	0.32395
EFCAB11	0.32395
FAM167A	0.32407
CDC42EP3	0.32413
UFM1	0.32428
ZFAND4	0.32458
NDUFB6	0.32467
TRA2B	0.32488
ESR2	0.32505
CD93	0.32508
AASDHPPT	0.32535
MYL9	0.32535
DBR1	0.32536
SIRT2	0.32539
TTC39B	0.3254
CASP16	0.32542
SPIRE1	0.32551
ARAP3	0.32556
IKBKAP	0.32568
ANKRD9	0.32579
C3orf33	0.3259
CLPB	0.3259
ZNF780A	0.32597
TOMM20	0.326
HEPACAM2	0.32604
PAPD5	0.3262
ZBED4	0.3262
ZBTB44	0.32635
ANXA2	0.32641
P4HA3	0.32644
NABP1	0.3265
PHC1	0.32657
LMCD1	0.32658
RPS16	0.32669
GPATCH11	0.32677
LRRC28	0.32688
ZBED2	0.32696
VOPP1	0.32708
FAM81A	0.32711
UNC119	0.32711
ZBTB7C	0.32711
ZNF385A	0.32712
RTN4IP1	0.32736
CDKL3	0.32742
GOLGA7	0.32742
KCNH8	0.32744
CALM1	0.32752
KCNQ4	0.32756
ZNF79	0.32772
CLDN8	0.32775
PHF3	0.32781
MYO1G	0.32787
EDC3	0.32788
SDHD	0.32789
NTM	0.32797
PARPBP	0.32804
ZNF197	0.32808
CTSC	0.32814
P4HA1	0.32821
PLCE1	0.32824
TMED4	0.32832
ITGA3	0.32837
SMKR1	0.32846
TMCO3	0.32856
HNRNPD	0.3286
SDCBP	0.32862
C12orf54	0.3287
THAP1	0.32877
TMEM185B	0.32878
DIABLO	0.32894
BCL2L14	0.32903
AKAP7	0.32905
WDR26	0.32918
IGDCC4	0.3293
GOLGA3	0.32939
IGSF21	0.32944
ARL15	0.32953
PACS2	0.32953
IL6R	0.32956
APBA1	0.32991
APOLD1	0.32991
ZNF74	0.32998
OSBP	0.33026
CSDC2	0.33037
ZNF652	0.33038
CD63	0.33065
SNAPC5	0.33066
PTPRS	0.33081
NSUN2	0.3309
INHBA	0.33092
TMOD1	0.33122
BLMH	0.33127
FAM71F2	0.33131
MFI2	0.33168
FASTK	0.3318
FAM83G	0.33191
SYTL3	0.3321
TRMT112	0.33212
SPAG16	0.33218
MITD1	0.3323
MPND	0.33247
SLCO2B1	0.33248
PRPF38B	0.33261
MKNK2	0.33261
FAM172A	0.3327
CDK20	0.33278
TMEM70	0.33306
TMUB1	0.33323
GTSE1	0.33342
ACOT4	0.33346
RANBP10	0.33361
FMO5	0.33364
SFT2D1	0.33365
ZNF776	0.33365
TRAPPC1	0.33371
PGBD2	0.33374
HMGCR	0.33378
ZNF169	0.33393
THEMIS2	0.33396
YPEL5	0.33412
ALKBH5	0.33427
NFATC3	0.33438
ELMOD2	0.33443
CASP10	0.33446
OAT	0.33448
CNTN4	0.33449
TSG101	0.33505
CCDC157	0.33515
AAED1	0.33517
AP1S3	0.33536
SNAP29	0.3354
CD209	0.3355
CNTNAP3	0.33563
HSP90B1	0.33564
SUN2	0.33571
RASSF8	0.33576
SLC3A2	0.33578
ASPA	0.33581
KBTBD6	0.33583
METTL9	0.33595
ATF3	0.33597
C9orf24	0.33602
ZNF773	0.33605
C9orf142	0.33606
UBE2E3	0.33611
CNTN3	0.33627
CHRD	0.33632
PRKAB2	0.3364
STON2	0.33649
PPM1D	0.33676
ATG10	0.33686
FXYD6	0.33694
CNTROB	0.33695
PPL	0.33696
APBB3	0.33697
NDC1	0.3371
ERC1	0.33743
TLR10	0.33749
ATOH8	0.33751
MINOS1-NBL1	0.33756
LAMTOR1	0.33756
SAYSD1	0.33762
ZNF229	0.33773
STX16	0.3378
TMEM105	0.33781
TYW3	0.33786
TTYH3	0.33788
SOS1	0.33794
MYO1F	0.33798
IER5	0.33805
CGRRF1	0.33817
ZNF620	0.33819
DNAJC30	0.33825
CCDC90B	0.33837
ALPL	0.3384
KAZALD1	0.33872
TUBGCP4	0.33873
SPRED1	0.33875
SMAGP	0.33885
ZNF721	0.33911
B4GALT4	0.33925
QPRT	0.33925
FBXW4	0.3393
GBE1	0.33936
HMBOX1	0.33936
IMPA2	0.33946
NUDC	0.33965
ETV4	0.33983
COX10	0.3399
ADD2	0.33997
GPRIN2	0.34
ZNF423	0.34
SRGAP2	0.34001
SAMD12	0.34012
BEND4	0.34027
AMY2B	0.34035
TRIB1	0.3406
TRAF1	0.34066
PHF12	0.3407
NFATC2	0.3408
ZNF319	0.34083
SLC1A4	0.34091
DGKG	0.34095
SZT2	0.34101
DHCR7	0.34102
AHSA1	0.34126
SUCLA2	0.34145
SLC17A7	0.34194
CMTR2	0.342
HLCS	0.34217
CSDE1	0.34219
SQLE	0.34225
AHCYL2	0.34244
CUL3	0.34262
ZNF221	0.34263
VRK1	0.34269
RAB2B	0.34274
ID1	0.34275
ACADVL	0.34287
RIPK1	0.34289
CCDC57	0.3429
METTL14	0.34291
STX3	0.34297
IGF1R	0.34297
VNN1	0.343
GNB4	0.34306
TMEM214	0.34314
JAG2	0.34322
NUP160	0.34337
VDAC3	0.34338
NHLH1	0.34352
PTPRCAP	0.34366
ASTE1	0.34371
CRIP3	0.34392
STC1	0.34403
SAMD9L	0.34417
SIX4	0.34434
TTYH2	0.34436
PDIA3	0.34437
ADAM32	0.34446
ASIC4	0.34451
LPCAT2	0.34461
APOBEC3D	0.34461
LIN52	0.34462
HCAR3	0.34468
ZNF443	0.34475
CYR61	0.34489
MELK	0.34491
RPN2	0.345
PYGB	0.34514
ZNF200	0.34516
GLCE	0.34521
TCF21	0.3454
GRPEL2	0.34545
BMP2	0.34568
S100A14	0.34573
PDLIM5	0.34574
RAB3A	0.34583
HBA2	0.34584
VDAC1	0.34597
TUBB2B	0.34602
MYEOV2	0.3462
FKBP1B	0.34635
ETFB	0.34639
WAPAL	0.34641
CD180	0.34649
HTRA4	0.3465
TIGD6	0.34663
TNFRSF10D	0.34664
SHE	0.34674
CCDC88C	0.34675
CROT	0.34677
FAM173B	0.34679
C14orf166	0.34682
ATG9A	0.34693
EPHX3	0.34699
CLCC1	0.347
UPF3A	0.34704
PRR14	0.34705
NHLRC3	0.34709
FAM126A	0.34719
SCAI	0.34728
GRM7	0.3473
CANX	0.34736
PGM1	0.34751
RHBDD3	0.3477
RAD51C	0.34772
XKR4	0.34774
TPRG1	0.34786
PGRMC2	0.34804
MAP3K12	0.34826
RPS19	0.34837
WNT5A	0.34845
SESN2	0.34847
PARP11	0.3485
MMACHC	0.3486
SEC11A	0.34869
PXK	0.34886
ENTPD8	0.34895
DCLK1	0.34908
SERF1A	0.3491
MANSC1	0.34912
ZNF592	0.34921
TBRG4	0.34932
PLEKHN1	0.34936
RGS4	0.34939
ANKRD40	0.34943
FAM181B	0.34946
LONP2	0.34951
TNNT2	0.3496
SMPD2	0.34981
CTNND2	0.34982
GGA3	0.35008
HMGN3	0.35009
OSBPL5	0.35012
PROSER1	0.35037
PPP1R3D	0.35037
ANKRD28	0.35051
YPEL1	0.3506
GRTP1	0.35061
KTI12	0.35066
GPATCH2L	0.35084
HN1	0.35089
TSPYL5	0.35092
C16orf52	0.35093
SLC22A17	0.35098
CDKN2AIPNL	0.35109
PSEN1	0.35122
LRSAM1	0.35128
TIGD7	0.35141
SF3A1	0.35156
SEPN1	0.35164
CHST15	0.35168
RABGEF1	0.35173
RPL12	0.35177
OXNAD1	0.35178
SIK1	0.35182
MZF1	0.35184
PLSCR1	0.3519
SOX6	0.35199
RASL12	0.3521
EFNB2	0.35217
ZNF585A	0.35223
GFRA3	0.35228
GLDC	0.3524
ATP2B1	0.35257
LRRC7	0.35259
SAMD4A	0.35262
CLUAP1	0.35264
POU2F1	0.35297
NR2F1	0.353
BCAS2	0.35302
LYNX1	0.35303
SDPR	0.3531
NAIP	0.35316
PCNX	0.35324
KCMF1	0.35343
ZNF12	0.35365
TXLNB	0.35381
MYADM	0.35381
GNG10	0.35402
ZNF155	0.35406
OXSM	0.35414
DCUN1D2	0.35425
NAALADL1	0.35429
UNC50	0.3543
ANKRD30B	0.35438
ZFP30	0.35442
HCAR1	0.35461
TBCEL	0.35489
KPNA3	0.35513
ACSS1	0.35524
RALA	0.35542
ITPRIPL1	0.35548
NR2C1	0.35549
PBK	0.35565
SBF2	0.35579
PSMB7	0.35584
SLC4A7	0.35593
DPY19L3	0.35599
VRK2	0.35603
ZNF621	0.35609
TSGA10	0.35614
SLC16A6	0.35627
ARHGAP5	0.35635
KATNA1	0.35644
TM6SF1	0.35649
MMP2	0.35649
SPATA22	0.35652
GTF2E2	0.35663
PITRM1	0.35665
TEPP	0.35665
ANKRD6	0.35671
ATP8B3	0.35675
GPER1	0.35706
FBXO38	0.35716
LFNG	0.35731
ORAI2	0.35782
MDM2	0.35783
VCPKMT	0.35784
TRIM33	0.35797
ARHGDIG	0.35799
VTA1	0.35802
HBA1	0.35819
AP4S1	0.35841
ZNF280B	0.35844
PTCD2	0.35847
SENP3	0.3585
NT5C	0.35858
CBX5	0.35859
DHRS13	0.35863
ZNF286B	0.35876
GRAMD2	0.3588
MRPS7	0.35902
SOS2	0.35904
CCDC176	0.35921
TIGD3	0.35924
PARP6	0.3593
ATP1B2	0.35961
GPATCH3	0.35974
TWISTNB	0.35976
RALB	0.35983
DCAF4L1	0.35988
CLDN14	0.35989
GABBR2	0.35993
TOPORS	0.35994
HS3ST1	0.36018
ID2	0.36029
CRYZ	0.36044
S100A1	0.36047
CAPN15	0.36056
ALG1	0.36063
PLCB2	0.36069
SMNDC1	0.3607
PDK4	0.36074
UNC5C	0.36078
RRP9	0.3608
RBM38	0.36088
NGLY1	0.36097
SLC38A10	0.36119
NACC2	0.36127
EP400	0.36134
DNAJC25	0.36183
ABCC10	0.36189
KIAA1217	0.36195
RINL	0.36198
GIMAP1	0.36224
NNT	0.3623
TC2N	0.36232
GPX2	0.36234
SRD5A1	0.36243
SOCS4	0.36252
ZNF211	0.36256
HAUS4	0.36258
SDR16C5	0.3626
PDE5A	0.36269
FBXO34	0.36284
SLC38A6	0.36287
SH3BP5	0.36291
HUNK	0.36301
RBM11	0.36317
CCDC25	0.36335
DNM1L	0.36335
ANKRD13A	0.36336
CTNND1	0.3634
CHIT1	0.36362
TP53BP1	0.36394
MYL4	0.36396
GRN	0.36401
USB1	0.36404
SPATA20	0.36411
HHIPL1	0.36417
SMPDL3A	0.3642
TTC7B	0.36433
PPM1F	0.36439
P2RY14	0.36458
NUDT13	0.36458
ZNF572	0.36462
SLC35E3	0.36462
ESRP1	0.36473
FAHD1	0.3648
ATP6V0D2	0.36483
PLRG1	0.36486
HELB	0.36489
PRIMPOL	0.36497
M6PR	0.36522
SCRG1	0.36526
KLHL42	0.36546
ZNF671	0.36548
NCF4	0.3655
CDH4	0.36556
CWC27	0.36558
NUDT15	0.36561
CYP4F8	0.36563
CSMD2	0.36569
MRPS33	0.36572
PDZD8	0.36577
AVL9	0.36582
PSD3	0.366
SRSF1	0.36606
LRRC69	0.36607
PPP6C	0.36636
ORC5	0.36639
KIAA1683	0.36641
BBS7	0.36649
NUP155	0.36651
LMO2	0.36654
ZNF540	0.36656
TCN2	0.36658
BOD1L1	0.36679
H1FX	0.36685
PLBD2	0.36693
ABLIM3	0.36705
C2orf72	0.36715
NYAP2	0.36716
B3GNT4	0.36719
SET	0.36734
OPLAH	0.36754
SNAPC1	0.36755
MRPL3	0.36759
SDC4	0.36759
PCDHB2	0.36761
ABCC3	0.36802
C14orf169	0.36804
RNF223	0.36805
NUDT3	0.36807
PPM1H	0.3681
ADRM1	0.36817
TNFSF4	0.36839
PNMA2	0.36853
ATP6V0E2	0.36857
ACOT11	0.36858
TRIM16L	0.36861
KCNAB3	0.36866
PKP3	0.36873
TRNT1	0.36891
SMAD7	0.36892
WDR61	0.36901
MED10	0.36908
ZNF470	0.36914
PPIL6	0.36922
MEIS2	0.36923
INPP5J	0.36932
ATP5L2	0.36937
SBF1	0.3695
CCNJL	0.36958
FAM65C	0.36963
CBR4	0.36972
MMP28	0.36974
ZNF587	0.36983
CREB5	0.37016
GDF11	0.37016
TCERG1	0.3702
AFF1	0.37025
MAFF	0.37029
KIAA1211L	0.3703
BTN2A1	0.37059
RPIA	0.37069
PEX3	0.3707
CLCN7	0.37075
CCDC88A	0.37079
PARN	0.37084
ASGR1	0.37093
ZNF780B	0.37105
FAM84A	0.37106
AFAP1	0.37115
NHEJ1	0.3713
LDLRAD2	0.37136
SHC2	0.37152
HCAR2	0.37156
ATP13A3	0.3716
HAGH	0.37162
NUAK2	0.3717
PSMA3	0.37184
SUPT5H	0.37203
ZNF555	0.37205
DNM3	0.37242
PPM1M	0.37253
C17orf75	0.37261
MAGOH	0.37281
GREM2	0.37295
TRAK1	0.37322
CDNF	0.37336
GTF2H5	0.37365
HERC6	0.37388
FNIP2	0.37415
SWSAP1	0.37433
CDV3	0.37437
RIMKLA	0.3744
PHACTR2	0.37451
C5orf45	0.3746
ELMSAN1	0.37464
IGSF6	0.37499
ZNF737	0.375
TTLL7	0.37515
ANKIB1	0.37516
NCSTN	0.37552
ATP10D	0.37554
SLC6A12	0.37563
ZNF623	0.37568
COBLL1	0.37572
ZNF257	0.37577
SYBU	0.37583
TMEM53	0.37587
LMLN	0.37594
CENPQ	0.37603
CHTF18	0.37622
EFS	0.37625
C17orf53	0.3763
MKL1	0.37631
TMEM163	0.3764
GFRA1	0.37646
RNF220	0.3765
RAB3GAP1	0.37653
VNN3	0.37669
ESRP2	0.37683
MMP15	0.37696
MPC1	0.37705
CEP41	0.37706
MFSD3	0.37707
CD300C	0.37709
UEVLD	0.3771
BUB1	0.37729
PIP4K2A	0.37736
NGDN	0.37736
CTF1	0.37738
MFSD1	0.37742
THAP7	0.37747
